,W_n1,W_n2,X1,X2
321,0.7,0.22,0.4952050025506228,2.0187700902037418
322,0.67,0.05,0.5043644427148493,2.078176230661485
323,0.67,0.07,0.5029921500136693,2.0685889600057092
324,0.67,0.1,0.5015713787620383,2.058840537292474
325,0.67,0.12,0.5001019917818889,2.048933873041936
326,0.67,0.15,0.49853147262522757,2.0388716803365994
327,0.67,0.17,0.49690696762309805,2.0286564927938113
328,0.67,0.2,0.4952326389991838,2.0182906799031204
329,0.65,0.02,0.5043874082000704,2.077516467428951
330,0.65,0.05,0.5030159733505332,2.067957892792047
331,0.65,0.07,0.501596067685271,2.0582367064173237
332,0.65,0.1,0.5001275516934447,2.0483559096353794
333,0.65,0.12,0.4985588886932331,2.0383182993170377
334,0.65,0.15,0.496935292060058,2.028126486498161
335,0.65,0.17,0.49526186925584703,2.0177829122962416
336,0.62,-0.0,0.5044116938669471,2.076817810122683
337,0.62,0.02,0.5030411665303293,2.067289596267503
338,0.62,0.05,0.5016221765961801,2.0575972302547436
339,0.62,0.07,0.5001545820887349,2.047743808735906
340,0.62,0.1,0.49858788240852275,2.037732216586718
341,0.62,0.12,0.4969652468833343,2.0275651462074498
342,0.62,0.15,0.4952927825374363,2.017245114039384
343,0.6,-0.03,0.5044373731057494,2.0760779796349382
344,0.6,-0.0,0.5030678057458069,2.066581885702519
345,0.6,0.02,0.5016497845215504,2.05692001430774
346,0.6,0.05,0.5001831648530263,2.0470955621141473
347,0.6,0.07,0.4986185416695459,2.0371115063922467
348,0.6,0.1,0.4969969229859409,2.02697062501928
349,0.6,0.12,0.4953254727315129,2.0166755136163483
350,0.57,-0.05,0.5044645230874114,2.0752945650306165
351,0.57,-0.03,0.5030959711198173,2.06583244964355
352,0.57,-0.0,0.5016789745699004,2.0562028422773544
353,0.57,0.02,0.5002133861068097,2.0464090444830045
354,0.57,0.05,0.49865095892658884,2.0364541304929076
355,0.57,0.07,0.4970304159746247,2.0263409679442885
356,0.57,0.1,0.4953600386019494,2.016072235658303
357,0.55,-0.08,0.5044932249222696,2.0744761645257683
358,0.55,-0.05,0.5031257468709631,2.065038842742144
359,0.55,-0.03,0.5017098341042148,2.055443369137692
360,0.55,-0.0,0.5002453363857686,2.045682006813161
361,0.55,0.02,0.49868523137590615,2.0357579317107937
362,0.55,0.05,0.49706582637176583,2.0256741056850758
363,0.55,0.07,0.49539658399870784,2.0154332949455904
364,0.52,-0.1,0.5045235638209624,2.073616066816921
365,0.52,-0.08,0.5031572214816066,2.0642150967551616
366,0.52,-0.05,0.5017424549172294,2.0546465668237968
367,0.52,-0.03,0.5002791108235072,2.0449138786517875
368,0.52,-0.0,0.4987214611569558,2.035020627125672
369,0.52,0.02,0.49710325982062287,2.0249685054707607
370,0.52,0.05,0.49543521807123136,2.014761553143248
371,0.5,-0.13,0.5045556292568666,2.0727053322743876
372,0.5,-0.1,0.5031904878675844,2.0633436627349533
373,0.5,-0.08,0.5017769334086191,2.0538124753541633
374,0.5,-0.05,0.5003148093364023,2.0441152883384244
375,0.5,-0.03,0.4987597555520236,2.0342553816597366
376,0.5,-0.0,0.4971428272932209,2.0242358180857436
377,0.5,0.02,0.4954760554847335,2.0140594613118923
378,0.47,-0.15,0.5045895151293405,2.0717410030455317
379,0.47,-0.13,0.5032256435488887,2.062420896895402
380,0.47,-0.1,0.5018133707633305,2.0529292092454594
381,0.47,-0.08,0.5003525368097731,2.043269580310599
382,0.47,-0.05,0.49880022718743283,2.033445403308078
383,0.47,-0.03,0.49718464530004414,2.0234598462521545
384,0.47,-0.0,0.4955192166385479,2.0133158707640497
385,0.45,-0.18,0.5046253199269198,2.070719951376175
386,0.45,-0.15,0.5032627908204501,2.0614437978143676
387,0.45,-0.13,0.5018518731301651,2.0519938882295357
388,0.45,-0.1,0.5003924032844866,2.0423739904678
389,0.45,-0.08,0.4988429942353773,2.0325876162946597
390,0.45,-0.05,0.49722883610057234,2.022638043979631
391,0.45,-0.03,0.4955648278855389,2.0125283378054344
392,0.42,-0.2,0.5046631468894787,2.069646342608375
393,0.42,-0.18,0.5033020369219916,2.060409191369391
394,0.42,-0.15,0.5018925517995749,2.051003465770941
395,0.42,-0.13,0.5004345241429299,2.0414255946678863
396,0.42,-0.1,0.49888818061525664,2.031679213865409
397,0.42,-0.08,0.49727552791351376,2.0217677170794066
398,0.42,-0.05,0.4956130217514517,2.0116942761672414
399,0.4,-0.23,0.5047031041682376,2.068525391635067
400,0.4,-0.2,0.5033434942058302,2.059327852852635
401,0.4,-0.18,0.5019355233795095,2.0499556488026
402,0.4,-0.15,0.5004790202931583,2.0404212997166535
403,0.4,-0.13,0.4989359161932559,2.030717226532649
404,0.4,-0.1,0.4973248551254584,2.0208460147405667
405,0.4,-0.08,0.4956639371528571,2.010810948866242
406,0.37,-0.25,0.504745304982336,2.067338563183811
407,0.37,-0.23,0.5033872803012897,2.0581918199709834
408,0.37,-0.2,0.5019809099679577,2.0488679356595103
409,0.37,-0.18,0.5005260183498288,2.039370955427033
410,0.37,-0.15,0.49898633697869865,2.0297046549851823
411,0.37,-0.13,0.4973769584964498,2.019872563545119
412,0.37,-0.1,0.4957177196121999,2.0098779837386878
413,0.35,-0.28,0.5047898677705144,2.066082025147682
414,0.35,-0.25,0.5034335182742505,2.056988979001373
415,0.35,-0.23,0.5020288393206562,2.0477161855711135
416,0.35,-0.2,0.5005756508103834,2.0382678369009577
417,0.35,-0.18,0.49903958531552917,2.028647845702367
418,0.35,-0.15,0.4974319853608032,2.018859869150239
419,0.35,-0.13,0.49577452146823614,2.008907329533661
420,0.32,-0.3,0.5048369163362848,2.064756829130506
421,0.32,-0.28,0.503482336780149,2.0557154391111503
422,0.32,-0.25,0.5020794450122522,2.046496661099041
423,0.32,-0.23,0.5006280562246866,2.0370997384071354
424,0.32,-0.2,0.4990958100670496,2.027528726779734
425,0.32,-0.18,0.4974900898212427,2.0177874170863417
426,0.32,-0.15,0.4958345020798928,2.0078793567275164
427,0.3,-0.33,0.5048865799847425,2.063377396743491
428,0.3,-0.3,0.5035338702085539,2.0543800333808755
429,0.3,-0.28,0.5021328665889833,2.045205410741142
430,0.3,-0.25,0.5006833793561661,2.035862863628519
431,0.3,-0.23,0.49915516679181776,2.02634365111591
432,0.3,-0.2,0.49755143293424114,2.0166517036894653
433,0.3,-0.18,0.4958978280213867,2.0067906994997124
434,0.27,-0.35,0.5049389936489882,2.061917032525504
435,0.27,-0.33,0.5035882588172081,2.0529816785404345
436,0.27,-0.3,0.5021892497107238,2.043861918305864
437,0.27,-0.28,0.5007417713322322,2.03456227159708
438,0.27,-0.25,0.4992178179083419,2.025088761649002
439,0.27,-0.23,0.4976161828841301,2.015449022944774
440,0.27,-0.2,0.49596467326614413,2.0056377970557535
441,0.25,-0.38,0.5049942980038925,2.0603710473640495
442,0.25,-0.35,0.5036456488532168,2.0515012183358508
443,0.25,-0.33,0.5022487462799817,2.0424438715022384
444,0.25,-0.3,0.5008033897815114,2.0332036941415423
445,0.25,-0.28,0.4992839328459754,2.0237850687271375
446,0.25,-0.25,0.4976845151433234,2.014192098032429
447,0.25,-0.23,0.49603521935677736,2.004428626973686
448,0.22,-0.38,0.5037061926587824,2.049935233354639
449,0.22,-0.35,0.5023115145552227,2.0409425028806956
450,0.22,-0.33,0.5008683989551774,2.031765189413117
451,0.22,-0.3,0.4993536881791079,2.0224064948798044
452,0.22,-0.28,0.4977566126156856,2.0128706754896744
453,0.22,-0.25,0.49610965555809733,2.003161720362102
454,0.2,-0.4,0.5037700487586673,2.048309694548158
455,0.2,-0.38,0.5023777192455625,2.0393660722999294
456,0.2,-0.35,0.500936969829371,2.0302421034769913
457,0.2,-0.33,0.49942726774144347,2.020946767849821
458,0.2,-0.3,0.4978326657597587,2.0114713815944425
459,0.2,-0.28,0.4961881789898135,2.001820084208535
460,0.17,-0.43,0.5038373819262444,2.0465888301470954
461,0.17,-0.4,0.5024475315836435,2.03771728234271
462,0.17,-0.38,0.5010092801854005,2.0286571592426803
463,0.17,-0.35,0.4995048627168724,2.0194132066137707
464,0.17,-0.33,0.4979128726882608,2.009989875053054
465,0.17,-0.3,0.49627099473521497,2.000399344819097
466,0.15,-0.45,0.5039083632247617,2.044771831123397
467,0.15,-0.43,0.5025211293731888,2.0359717256343424
468,0.15,-0.4,0.5010855146641383,2.026984238581853
469,0.15,-0.38,0.49958667170309373,2.017809589988877
470,0.15,-0.35,0.49799743923991346,2.0084523982278832
471,0.15,-0.33,0.49635831592183255,1.9989169992390377
472,0.12,-0.48,0.5039831700201274,2.0428823650445014
473,0.12,-0.45,0.5025986970074331,2.034141427403327
474,0.12,-0.43,0.5011658647906885,2.0252130609156747
475,0.12,-0.4,0.4996729007438145,2.0161116594438404
476,0.12,-0.38,0.49808657901931713,2.006824386853394
477,0.12,-0.35,0.49645036376966295,1.9973557438261889
478,0.1,-0.5,0.5040619859612187,2.0408822628506407
479,0.1,-0.48,0.5026804254543128,2.032224498459885
480,0.1,-0.45,0.5012505289650875,2.023371247647779
